"query","search interest","increase percent"
"la ia",100,"40%"
"gemini",66,"300%"
"ia gemini",65,"300%"
"gemini ia",65,"300%"
"ia google",60,"60%"
"google ia",59,"80%"
"ia gratis",55,"3%"
"ia video",41,"50%"
"video ia",39,"40%"
"geminis ia",32,"110%"
"ia chatgpt",32,"-10%"
"detector ia",31,"-6%"
"ia detector",31,"-4%"
"geminis",31,"100%"
"ia geminis",30,"100%"
"chat ia",30,"-30%"
"ia chat",29,"-30%"
"ia videos",27,"60%"
"videos ia",26,"60%"
"detector de ia",26,"-8%"
"ia gpt",23,"-30%"
"ia fotos",22,"30%"
"ia imagenes",22,"-40%"
"ia online",22,"3%"
"imagenes ia",21,"-40%"
"ia de google",21,"30%"
"claude ia",17,"250%"
"claude",16,"250%"
"ia claude",16,"250%"
"ia chat gpt",15,"-40%"
"modo ia",15,"2.700%"
"canva ia",12,"-20%"
"ia de imagenes",11,"-40%"
"ia gratuit",11,"-9%"
"open ia",10,"30%"
"voz ia",10,"-30%"
"que es la ia",10,"20%"
"humanizador de ia",10,"30%"
"inteligencia artificial",9,"-30%"
"ia studio",9,"110%"
"humanizador",9,"20%"
"meta ia",8,"-2%"
"ia state",8,"30%"
"grok",6,"170%"
"grok ia",6,"150%"
"ia do google",6,"90%"
"copilot ia",6,"0%"
"cloud ia",5,"200%"
"banana ia",5,"1.850%"
"ia de imagens",4,"-30%"
